case_id,candidate,kind,refined,sequence,capacitance_f,ramp_time_s,out_min_v,out_max_v,observations,Vdd_absorbed_energy_j,Vdd_absorption_peak_a,Vdd_max_delivered_current_a,Vdd_min_delivered_current_a,Vdd_positive_delivered_energy_j,Vdd_positive_delivery_peak_a,Vdd_signed_energy_j,Vin_absorbed_energy_j,Vin_absorption_peak_a,Vin_max_delivered_current_a,Vin_min_delivered_current_a,Vin_positive_delivered_energy_j,Vin_positive_delivery_peak_a,Vin_signed_energy_j
A75-together-fast-8p,A75,startup,False,together,8e-12,1e-08,-4.975922099534154e-21,0.4999999999913974,10118,0.0,4.945576182021769e-29,7.543632970937966e-05,-4.945576182021769e-29,1.349496701445706e-09,7.543632970937966e-05,1.349496701445706e-09,4.86633233519476e-16,2.606592761539338e-08,1.0903190579085432e-06,-2.606592761539338e-08,4.349269236988869e-15,1.0903190579085432e-06,3.862636003469394e-15
A75-together-slow-1p,A75,startup,False,together,1e-12,1e-06,-4.899816888231972e-19,0.533621965350854,2092,0.0,1.2635395733216464e-25,7.49887766078409e-05,-1.2635395733216464e-25,1.2932611586010973e-09,7.49887766078409e-05,1.2932611586010973e-09,0.0,1.860803499023452e-23,6.5493852090235065e-09,-1.860803499023452e-23,3.9159732532783874e-15,6.5493852090235065e-09,3.9159732532783874e-15
A75-together-slow-8p,A75,startup,False,together,8e-12,1e-06,-4.975922099534154e-21,0.49999999997991,2099,0.0,3.517649985677728e-29,7.518098486185373e-05,-3.517649985677728e-29,1.293468930198611e-09,7.518098486185373e-05,1.293468930198611e-09,6.353696129323131e-17,1.0406193438417324e-09,6.554181953153154e-09,-1.0406193438417324e-09,3.853728078159407e-15,6.554181953153154e-09,3.790191116866175e-15
R75-input_first-fast-1p,R75,startup,False,input_first,1e-12,1e-08,3.513411059042983e-06,0.5000000000023371,10159,0.0,5.269701613259357e-10,0.00011974430773489782,-5.269701613259357e-10,1.349852733955725e-09,0.00011974430773489782,1.349852733955725e-09,3.1957223676909286e-15,5.413198103843453e-07,8.660804781191519e-09,-5.413198103843453e-07,5.552097959604881e-14,8.660804781191519e-09,5.232525722835788e-14
R75-input_first-fast-8p,R75,startup,False,input_first,8e-12,1e-08,3.5134110701571435e-06,0.5000000000007122,10108,0.0,5.269701584186332e-10,0.00014098066621613363,-5.269701584186332e-10,1.3528249115421542e-09,0.00014098066621613363,1.3528249115421542e-09,2.8030099896225338e-15,2.955215033266165e-07,8.660804780703628e-09,-2.955215033266165e-07,5.513649718150862e-14,8.660804780703628e-09,5.2333487191886086e-14
R75-input_first-slow-1p,R75,startup,False,input_first,1e-12,1e-06,3.5134110557731883e-06,0.5000000000031544,2073,1.446404417971345e-27,5.269701609759172e-10,7.586722356127443e-05,-5.269701609759172e-10,1.3075124818101748e-09,7.586722356127443e-05,1.3075124818101748e-09,6.680352370982976e-16,3.955556247727931e-09,8.660804748665454e-09,-3.955556247727931e-09,5.341054992673371e-14,8.660804748665454e-09,5.274251468963541e-14
R75-input_first-slow-8p,R75,startup,False,input_first,8e-12,1e-06,3.513411069544635e-06,0.5000000000026056,2096,1.0823511110000372e-27,5.26970158080601e-10,8.179679121509286e-05,-5.26970158080601e-10,1.3096691886657897e-09,8.179679121509286e-05,1.3096691886657897e-09,5.619971758841797e-16,3.701228167810218e-09,8.660804748665454e-09,-3.701228167810218e-09,5.332048648516332e-14,8.660804748665454e-09,5.275848930927914e-14
R75-supply_first-fast-1p,R75,startup,False,supply_first,1e-12,1e-08,0.49999999999706535,0.9380982832979622,10116,0.0,0.0,7.499409362858895e-05,9.284526276191518e-06,1.3676717732679674e-09,7.499409362858895e-05,1.3676717732679674e-09,0.0,1.0449370839195338e-08,4.657987626130542e-06,-1.0449370839195338e-08,5.666097301189413e-14,4.657987626130542e-06,5.666097301189413e-14
R75-supply_first-fast-8p,R75,startup,False,supply_first,8e-12,1e-08,0.499999999999351,0.9375326546932407,10068,0.0,0.0,7.499409362824613e-05,9.36936388527403e-06,1.3648477004713122e-09,7.499409362824613e-05,1.3648477004713122e-09,0.0,1.0449370839098193e-08,4.364646653880807e-06,-1.0449370839098193e-08,5.666886087596943e-14,4.364646653880807e-06,5.666886087596943e-14
R75-supply_first-slow-1p,R75,startup,False,supply_first,1e-12,1e-06,0.499999999950368,0.9374371682520274,2048,0.0,0.0,7.499409363559301e-05,9.383685723499157e-06,1.3111079703488236e-09,7.499409363559301e-05,1.3111079703488236e-09,7.292638135321545e-25,1.0449370839160643e-08,7.516873120168776e-08,-1.0449370839160643e-08,5.3511356123981986e-14,7.516873120168776e-08,5.3511356123252725e-14
R75-supply_first-slow-8p,R75,startup,False,supply_first,8e-12,1e-06,0.4999999999933575,0.9374316933671472,2044,0.0,0.0,7.49940936291451e-05,9.384506891557784e-06,1.3082699024313601e-09,7.49940936291451e-05,1.3082699024313601e-09,7.293578228837635e-25,1.0449370839221358e-08,6.918204064146078e-08,-1.0449370839221358e-08,5.3534259816195033e-14,6.918204064146078e-08,5.353425981546568e-14
R75-together-fast-1p,R75,startup,False,together,1e-12,1e-08,-2.1290006202675844e-18,0.5000000000024228,10151,0.0,2.01666587801498e-22,9.035024318188058e-05,-2.01666587801498e-22,1.3495597094398368e-09,9.035024318188058e-05,1.3495597094398368e-09,3.41852059389125e-16,1.354908216704277e-07,4.2333394002055024e-06,-1.354908216704277e-07,5.4427296863434535e-14,4.2333394002055024e-06,5.4085444804045404e-14
R75-together-fast-8p,R75,startup,False,together,8e-12,1e-08,-3.073489302293931e-19,0.5000000000018398,10115,0.0,2.1162881232535807e-23,0.00013807568409357417,-2.1162881232535807e-23,1.3526919936138e-09,0.00013807568409357417,1.3526919936138e-09,1.5730343366187562e-15,1.336803929100701e-07,4.576777851737291e-06,-1.336803929100701e-07,5.501325005000812e-14,4.576777851737291e-06,5.344021571338936e-14
R75-together-slow-1p,R75,startup,False,together,1e-12,1e-06,-1.380602651783474e-18,0.6566105041808621,2101,0.0,1.9520318895467613e-22,7.499409363804896e-05,-1.9520318895467613e-22,1.285594364082264e-09,7.499409363804896e-05,1.285594364082264e-09,0.0,6.021013305677627e-23,6.711527615724288e-08,-6.021013305677627e-23,5.253002661672564e-14,6.711527615724288e-08,5.253002661672564e-14
R75-together-slow-8p,R75,startup,False,together,8e-12,1e-06,-2.8504564640457037e-19,0.6494817088337491,2112,0.0,3.0319833634048686e-23,7.499409362924775e-05,-3.0319833634048686e-23,1.2863896501375445e-09,7.499409362924775e-05,1.2863896501375445e-09,0.0,3.766314616014573e-23,6.238112666516731e-08,-3.766314616014573e-23,5.244415686010759e-14,6.238112666516731e-08,5.244415686010759e-14
