candidate,refined,capacitance_f,amplitude_peak_v,time_s,input_v,output_v,capacitor_current_a,supply_delivered_current_a,input_delivered_current_a
F75S,False,1e-12,,2.036e-06,0.47000000000000003,0.41629329651982866,-2.2779638642736482e-06,7.520300739739624e-05,4.923293232466243e-07
F75S,False,1e-12,,2.0380000000000002e-06,0.47000000000000003,0.41200883989560294,-2.0170873258232095e-06,7.521195516738541e-05,5.311716514260766e-07
F75S,False,1e-12,,2.04e-06,0.47000000000000003,0.40820488170685953,-1.7858793067913298e-06,7.521986151020791e-05,5.656499447494505e-07
F75S,False,1e-12,,2.042e-06,0.47000000000000003,0.4048392445935729,-1.5816341496435995e-06,7.522682633914941e-05,5.961490815334852e-07
F75S,False,1e-12,,2.0440000000000003e-06,0.47000000000000003,0.4018681937788002,-1.4016138989084383e-06,7.52329534409021e-05,6.23067705755529e-07
F75S,False,1e-12,,2.046e-06,0.47000000000000003,0.39921596859778247,-1.2411056682404562e-06,7.523840735720754e-05,6.470941923603287e-07
F75S,False,1e-12,,2.048e-06,0.47000000000000003,0.3968762528023927,-1.0996551791781477e-06,7.524320272413315e-05,6.682865169456636e-07
F75S,False,1e-12,,2.0500000000000003e-06,0.47000000000000003,0.3948131588889052,-9.750771319436338e-07,7.524742305676664e-05,6.869711256491964e-07
F75S,False,1e-12,,2.052e-06,0.47000000000000003,0.39297786118109523,-8.643364979546433e-07,7.525116856298559e-05,7.035909159052711e-07
F75S,False,1e-12,,2.054e-06,0.47000000000000003,0.39134794226181907,-7.660630542725059e-07,7.525448891254815e-05,7.183495306597654e-07
F75S,False,1e-12,,2.0560000000000003e-06,0.47000000000000003,0.3899020947284486,-6.789558083545806e-07,7.525743051889742e-05,7.314404018021448e-07
F75S,False,1e-12,,2.058e-06,0.47000000000000003,0.388620925159545,-6.018030863365638e-07,7.526003173361291e-05,7.430393328001014e-07
F75S,False,1e-12,,2.06e-06,0.47000000000000003,0.3874861828489691,-5.335222362131668e-07,7.526233470834174e-05,7.533120478724379e-07
F75S,False,1e-12,,2.062e-06,0.47000000000000003,0.386479691069769,-4.729695429871668e-07,7.52643730759998e-05,7.6242310178232e-07
F75S,False,1e-12,,2.064e-06,0.47000000000000003,0.3855873938911355,-4.193276356463427e-07,7.526618050507921e-05,7.705001426457638e-07
F75S,False,1e-12,,2.066e-06,0.47000000000000003,0.38479629680860866,-3.71769446880593e-07,7.526777947640685e-05,7.776607067107321e-07
F75S,False,1e-12,,2.068e-06,0.47000000000000003,0.3840948922289442,-3.2963513278400973e-07,7.52691981745032e-05,7.840092832866716e-07
F75S,False,1e-12,,2.07e-06,0.47000000000000003,0.3834729874873184,-2.9226960884187e-07,7.527045314005428e-05,7.896379959790396e-07
F75S,False,1e-12,,2.0720000000000002e-06,0.47000000000000003,0.3829215533011005,-2.591645773760326e-07,7.527156732961759e-05,7.94628844712727e-07
F75S,False,1e-12,,2.074e-06,0.47000000000000003,0.3824325898180886,-2.2979890563602603e-07,7.527255268983629e-05,7.990540775074993e-07
F75S,False,1e-12,,2.076e-06,0.47000000000000003,0.3819990084823561,-2.0378243009656593e-07,7.527342812687581e-05,8.029780907341342e-07
F75S,False,1e-12,,2.0780000000000003e-06,0.47000000000000003,0.3816145274805768,-1.806985716827663e-07,7.527420202128777e-05,8.064575695898929e-07
F75S,False,1e-12,,2.08e-06,0.47000000000000003,0.3812735794832165,-1.6024942567763538e-07,7.527489012897198e-05,8.09543116643587e-07
F75S,False,1e-12,,2.082e-06,0.47000000000000003,0.3809712298913072,-1.421001662316485e-07,7.527549805462256e-05,8.122792185845989e-07
F75S,False,1e-12,,2.0840000000000003e-06,0.47000000000000003,0.3807031046782284,-1.2602504684717538e-07,7.527603909857209e-05,8.14705659453193e-07
F75S,False,1e-12,,2.086e-06,0.47000000000000003,0.3804653263836918,-1.1175324768952759e-07,7.527651670036258e-05,8.168573590769092e-07
F75S,False,1e-12,,2.088e-06,0.47000000000000003,0.3802544576130276,-9.911552297467352e-08,7.527694224198686e-05,8.187656105287912e-07
F75S,False,1e-12,,2.0900000000000003e-06,0.47000000000000003,0.3800674508641754,-8.789122587762647e-08,7.52773174700625e-05,8.204578250901036e-07
F75S,False,1e-12,,2.092e-06,0.47000000000000003,0.37990160425140895,-7.795538688892688e-08,7.527765226671863e-05,8.219586286000969e-07
F75S,False,1e-12,,2.094e-06,0.47000000000000003,0.3797545221445133,-6.912672000674279e-08,7.527794705305759e-05,8.232895375475843e-07
F75S,False,1e-12,,2.096e-06,0.47000000000000003,0.37962408044492923,-6.131497957734992e-08,7.527821053620322e-05,8.244699392066042e-07
