candidate,case_id,numerical_usable,terminal_supported,out_v,error_v,gain,current_a,bandwidth_hz,dc_ac_current_pass,predicted_out_v,mode,coordinate_fraction
R37,R37-rd--0.05,True,True,0.5218261026156925,0.02182610261569251,-5.744244168156769,3.775055029045285e-05,14260816.38202559,True,0.5222393432294914,rd,-0.05
R37,R37-rd-0.05,True,True,0.47846740381420916,-0.021532596185790842,-6.251359213691595,3.7252347924582586e-05,13078302.484476864,True,0.4788459442868235,rd,0.05
A37,A37-common_internal--0.2,True,True,0.6473357914989413,0.14733579149894127,-6.791906443276942,4.533177204881167e-05,1835018.8744119697,False,0.6340633725845897,common_internal,-0.2
A37,A37-common_internal--0.1,True,True,0.5663438019448461,0.06634380194484613,-6.413825562857535,4.103541939273777e-05,1774878.243509191,False,0.5632999967194565,common_internal,-0.1
A37,A37-common_internal--0.05,True,True,0.5315400823962626,0.0315400823962626,-6.2045053615588985,3.918549806998429e-05,1758987.9790061698,False,0.530816718636069,common_internal,-0.05
A37,A37-common_internal--0.02,True,True,0.5122498775119124,0.012249877511912421,-6.080915284007669,3.815588607219595e-05,1751505.0893221016,True,0.5121376712975144,common_internal,-0.02
A37,A37-common_internal-0.02,True,True,0.488210338518801,-0.011789661481198976,-5.920465716178728,3.686704097931511e-05,1743147.9017818137,True,0.4881026944937374,common_internal,0.02
A37,A37-common_internal-0.05,True,True,0.4713393806949265,-0.02866061930507352,-5.803966479572549,3.595802531447076e-05,1737799.6621994446,False,0.4706871477154167,common_internal,0.05
A37,A37-common_internal-0.1,True,True,0.4452170414600229,-0.05478295853997711,-5.61762867988589,3.4541958030705447e-05,1730206.4387599453,False,0.4427381877206385,common_internal,0.1
A37,A37-common_internal-0.2,True,True,0.3994401683281418,-0.10055983167185822,-5.274078836319993,3.2030205529315006e-05,1718454.4513110225,False,0.39046224882887104,common_internal,0.2
A37,A37-ratio_internal--0.2,True,True,0.3502935910975399,-0.14970640890246012,-6.578504619794119,3.412043013501504e-05,1732972.6248004623,False,0.3473848341722974,ratio_internal,-0.2
A37,A37-ratio_internal--0.1,True,True,0.42854545324728344,-0.07145454675271656,-6.280909810893494,3.586903683046895e-05,1737012.127477695,False,0.427940500748095,ratio_internal,-0.1
A37,A37-ratio_internal--0.05,True,True,0.465056994788212,-0.034943005211788,-6.13824597155502,3.669807392895292e-05,1741423.3036797338,False,0.46491883998902417,ratio_internal,-0.05
A37,A37-ratio_internal--0.02,True,True,0.4862036249430277,-0.013796375056972288,-6.054819933255262,3.7182356075018996e-05,1744686.2933926098,True,0.486182708352596,ratio_internal,-0.02
A37,A37-ratio_internal-0.02,True,True,0.5135630507234734,0.013563050723473413,-5.945724486636979,3.7813609089040325e-05,1749798.015268709,True,0.5135436638453381,ratio_internal,0.02
A37,A37-ratio_internal-0.05,True,True,0.5334833441014076,0.03348334410140763,-5.865116235672471,3.827668731362394e-05,1754279.7926932457,False,0.5333691874634229,ratio_internal,0.05
A37,A37-ratio_internal-0.1,True,True,0.5655964182203647,0.06559641822036466,-5.731962649909163,3.902970813585495e-05,1763258.8188249546,False,0.5651857461698737,ratio_internal,0.1
A37,A37-ratio_internal-0.2,True,True,0.6259657423927708,0.1259657423927708,-5.46086039816025,4.0469615034227304e-05,1789592.6809214568,False,0.6246956699378962,ratio_internal,0.2
A37,A37-rload--0.05,True,True,0.4772454301316503,-0.022754569868349728,-5.733447921942848,3.7519047641774834e-05,1827870.894620893,True,0.47678400101012397,rload,-0.05
A37,A37-rload-0.05,True,True,0.5225039921757606,0.0225039921757606,-6.260451458759064,3.748069798279915e-05,1674984.4727717133,True,0.5220830503371495,rload,0.05
A37,A37-rsrc--0.2,True,True,0.4999995395805178,-4.604194822066532e-07,-6.00000872991401,3.7500000390114485e-05,1747172.0658662014,True,0.4999994870401973,rsrc,-0.2
A37,A37-rsrc-0.2,True,True,0.500000460406713,4.6040671297653546e-07,-5.999991270106564,3.7499999609513356e-05,1747083.1060617531,True,0.5000004191158636,rsrc,0.2
A37,A37-rbias--0.05,True,True,0.5512702935166733,0.05127029351667334,-5.954644665894307,3.916713628160834e-05,1761578.5331033515,False,0.5504895193266887,rbias,-0.05
A37,A37-rbias-0.05,True,True,0.4527113216524366,-0.047288678347563395,-6.029494222532616,3.597266012395597e-05,1737495.8815692773,False,0.45197438639196374,rbias,0.05
R75,R75-common_internal--0.2,True,True,0.5782811813514644,0.07828118135146445,-5.241492136555653,7.907218898995765e-05,31024091.07005431,False,0.5829861059003513,common_internal,-0.2
R75,R75-common_internal--0.1,True,True,0.5381384203731079,0.038138420373107884,-5.6384486795203115,7.697689036073066e-05,27780194.71329857,False,0.5391831126582054,common_internal,-0.1
R75,R75-common_internal--0.05,True,True,0.5188288278116698,0.018828827811669835,-5.823410211871751,7.59743769218097e-05,26414424.19921925,True,0.5190757507216976,common_internal,-0.05
R75,R75-common_internal--0.02,True,True,0.507475063487828,0.007475063487828004,-5.930340780432593,7.538646264276078e-05,25661712.96337963,True,0.5075132980498547,common_internal,-0.02
R75,R75-common_internal-0.02,True,True,0.4925988541895623,-0.007401145810437715,-6.068387459756153,7.461782249042412e-05,24726891.350119505,True,0.4926354899515314,common_internal,0.02
