candidate,condition,index,error_v,center_pass,five_checks_pass,realization_id,original_attempt_sha256
A75,nominal,2054,0.07735578819622468,False,False,3f89eef16ebd1db32296294f02376f1deb33044076497cf8a18b0468bd8cf75f,2585d3d6bb4a4791ca230ac13ba5cf168ad46169736a1a0ca5665fb9f450194d
A75,nominal,2055,0.007889997406475557,True,True,c24d65cc997b32a6d0cbf062ce4fb2eae53a091810dd84137bf68ab004ef2e76,3de6edd111e21ef257ee978fbf8e2d47624a734c7a225b80a739a9422e99e448
A75,nominal,2056,-0.09056137532523867,False,False,e488b85698850211c41a1b3ad319ea9ce50f1b50b33d0d7088dfbe93c2ccbb6d,13b22765b5c8d5837205df6f48808cadae774db619cbf059aa9c9293727beec7
A75,nominal,2057,0.03501487687326421,False,False,d6aa0bc07ba1af24c5c3ccf59fda782ff030518342e655df48d9dc7a9feb24a6,4af57b4dd145c16d03df3437a6d81988885baa3377782b3ace91cfa1e3587776
A75,nominal,2058,-0.06209480931510619,False,False,52b4ddb291c3c22ead28e9554af662c000a740214c851efcf885f786c306360d,6d3722467b175b446104e8864b51b2cfabfdc31986da9837b53dcb9523c09e04
A75,nominal,2059,0.00019256873309425604,True,True,44e858e9e52842314f8743beba30778a90c8037325ab22c5857386da5910a114,5d9ad6ff634da45c0c146e14229696fc0e979c8544e8ff564bd8aa253e8cceee
A75,nominal,2060,-0.07097037424597558,False,False,c72c4239f9830c34fa8c7902ce531f7ecde38a6d723caeffabb7e728954b346f,18a483c2709f5d273971772fd11950f123293d281837ec793063586ff41928a2
A75,nominal,2061,0.0428760432013684,False,False,d3839ee41ac35132cf25d66080b3ea01e5e10aa738e2204a088eb57e630eff0a,c113ce7c0d15e0c32566c78a1ba1c153c4f8fb2f4b852792cc831b53cf770fed
A75,nominal,2062,-0.09597767088630715,False,False,16bfdd32b01e9c35bed12ed4e987ab1e4fc6be1e3433e0dbfe7bf3c9ce835777,250db08757a80b41dc28dd21d91b79ff38859ac171e151b47a0c424be38b7906
A75,nominal,2063,-0.11960422740994425,False,False,cd45e3aea5c303c91c24e0ac64c55605bb30626a09b0ce4093d6819dd3b491a7,abf925a8239208192d3f7ed418e99e1bb411a8fb3cb8cbdf9716c9fd15bcb0ae
A75,nominal,2064,0.022843473707489514,True,True,16f3921e81cb7a4947fa0e7e9061085176da9254b3c26e9baa98af1e81b0a33c,7f3b72718e18efc756c4aa49c74b940599ccd6196ee47f294f050d04993cd375
A75,nominal,2065,-0.0024959864355596495,True,True,38db8b31b80ac6024aeae45967e6587974ed3a8e323b20268e1f6617bef8282e,243fa2fa6e965c3b4eb3d7291b9d743cb94945e95ab46f37b876a421a4037859
A75,nominal,2066,0.05763169644186483,False,False,01e0a78d3181c6d66b5209160bc642f3129e53e09be3e1f296d04dce9f2caae4,75e28b2de5f93976c1c2ae38f999e103af73075c9ef1336abc826b27d9eb163c
A75,nominal,2067,-0.045801399538167364,False,False,8dfedbbd9c0dd1c26d3c235736de7f6d51d973cfb4824f2ac87549d8874444d0,f280064fdfa82e0183b974efa15a7843f3796e148dcceaea3abbb162761c6faa
A75,nominal,2068,-0.020668554056047894,True,True,ffc5a50da8738cecce35b184f6b69962e89dba1bd98957763adcb1f32d6de3cf,e3b76da860535d2b0fda118795b2ced511265f657ba20707b95d5ce0c1d56b29
A75,nominal,2069,-0.035092243148088065,False,False,de53bbd951026e7df65a829844330ff23ea39a40bce5dc4c385ce91e51d8ab7f,520420c118d51bff01fbe8d56528add032ef2ca5e3b7ff776a17c737efc01785
A75,nominal,2070,-0.1346185751831362,False,False,846aa9ff656fa57f178bd4e20f72036693e143f4cb11757de906ef19668345e5,8a7b0781fed3b6c25d6e097e274d75ff86964f69cd8601ac918e52eed8607afe
