frequency_hz,branch_transfer_real_ohm,branch_transfer_imag_ohm
39810.71705535004,-77374.4728338948,347.9186942169208
40973.210981354474,-77374.38197997941,358.07769161012334
42169.650342858564,-77374.28574282947,368.533299937482
43401.02636447473,-77374.18380357078,379.2941770440302
44668.35921509667,-77374.07582430559,390.3692332877811
45972.69885308759,-77373.96144715129,401.7676388842847
47315.125896148435,-77373.84029312208,413.4988314640441
48696.75251658671,-77373.71196064893,425.5725238515101
50118.723362727644,-77373.57602449172,437.99871206261713
51582.216507230994,-77373.4320340989,450.7876835386009
53088.44442309928,-77373.27951227516,463.95002561179086
54638.65498818588,-77373.1179536359,477.49663421631294
56234.13251903538,-77372.94682276295,491.4387228519414
57876.19883491255,-77372.76555257787,505.78783180079427
59566.21435290155,-77372.57354235345,520.5558376119353
61305.579214982594,-77372.37015582257,535.754962854507
63095.734448019866,-77372.15471900767,551.3977861522754
64938.16315762169,-77371.92651806443,567.4972525026388
66834.39175686204,-77371.6847967866,584.0666838934588
68785.99123088135,-77371.42875425561,601.1197902175985
70794.5784384144,-77371.1575420186,618.6706805035185
72861.81745132341,-77370.87026154957,636.7338744569669
74989.42093324625,-77370.56596085343,655.324314342657
77179.15155850194,-77370.24363178696,674.4573771855255
79432.82347242888,-77369.90220639098,694.1488873318781
81752.30379436575,-77369.54055350226,714.4151293555095
84139.5141645203,-77369.15747492327,735.2728613315649
86596.43233600735,-77368.75170160484,756.739328477969
89125.0938133754,-77368.32188918463,778.8322771878312
91727.59353897884,-77367.86661392162,801.5699694392662
94406.08762859325,-77367.38436759626,824.9711976241352
97162.79515771156,-77366.87355279629,849.0552997731829
100000.00000000097,-77366.33247756402,873.8421752105924
102920.05271944383,-77365.75934963988,899.3523006431348
105925.37251772993,-77365.15227082194,925.606746680016
109018.44923851384,-77364.5092305324,952.6271948165843
112201.84543019746,-77363.82809910408,980.4359548793277
115478.19846894697,-77363.10662094053,1009.055982937008
118850.22274370304,-77362.34240685034,1038.5108997078873
122320.71190499439,-77361.53292624875,1068.8250094533328
125892.541179418,-77360.67549912428,1100.0233193691793
129568.66975170327,-77359.76728650725,1132.1315595253589
