candidate,frequency_hz,zout_real_ohm,zout_imag_ohm
R75,33496.54391578302,6144.2284221081145,-8.167974739826926
R75,34474.6606573152,6144.227778593705,-8.406483027720359
R75,35481.33892335782,6144.227096948804,-8.6519558039424
R75,36517.41272548406,6144.226374914077,-8.904596428061687
R75,37583.740428844714,6144.225610096288,-9.164614197207486
R75,38681.20546330552,6144.224799960401,-9.432224519391415
R75,39810.71705535004,6144.223941821174,-9.70764909188493
R75,40973.210981354474,6144.223032834272,-9.991116084799813
R75,42169.650342858564,6144.2220699867985,-10.282860330022954
R75,43401.02636447473,6144.221050087355,-10.583123515661542
R75,44668.35921509667,6144.219969755434,-10.892154386158495
R75,45972.69885308759,6144.218825410247,-11.210208948243517
R75,47315.125896148435,6144.217613258805,-11.537550682888964
R75,48696.75251658671,6144.216329283399,-11.874450763445534
R75,50118.723362727644,6144.214969228249,-12.221188280136994
R75,51582.216507230994,6144.213528585424,-12.578050471099015
R75,53088.44442309928,6144.212002579886,-12.9453329601518
R75,54638.65498818588,6144.2103861536525,-13.323340001502338
R75,56234.13251903538,6144.208673949074,-13.712384731577423
R75,57876.19883491255,6144.206860291035,-14.112789428193839
R75,59566.21435290155,6144.2049391681785,-14.524885777279204
R75,61305.579214982594,6144.202904212933,-14.949015147361687
R75,63095.734448019866,6144.200748680489,-15.38552887205456
R75,64938.16315762169,6144.198465426366,-15.834788540766038
R75,66834.39175686204,6144.19604688278,-16.297166297873556
R75,68785.99123088135,6144.193485033555,-16.773045150606944
R75,70794.5784384144,6144.1907713875535,-17.2628192858923
R75,72861.81745132341,6144.187896950534,-17.76689439641572
R75,74989.42093324625,6144.184852195337,-18.2856880161731
R75,77179.15155850194,6144.18162703035,-18.819629865780204
R75,79432.82347242888,6144.178210766019,-19.369162207823766
R75,81752.30379436575,6144.174592079441,-19.934740212543808
R75,84139.5141645203,6144.170758976851,-20.51683233414462
R75,86596.43233600735,6144.166698753873,-21.115920698039883
R75,89125.0938133754,6144.162397953413,-21.732501499346867
R75,91727.59353897884,6144.157842321075,-22.367085412952356
R75,94406.08762859325,6144.153016757911,-23.02019801548246
R75,97162.79515771156,6144.147905270433,-23.692380219520164
R75,100000.00000000097,6144.142490917545,-24.384188720414073
R75,102920.05271944383,6144.136755754502,-25.096196456048535
R75,105925.37251772993,6144.130680773353,-25.82899307993741
R75,109018.44923851384,6144.124245840048,-26.58318544802618
R75,112201.84543019746,6144.117429627683,-27.35939811958991
R75,115478.19846894697,6144.110209545834,-28.15827387263074
R75,118850.22274370304,6144.102561665754,-28.980474234185042
R75,122320.71190499439,6144.09446064106,-29.826680025963427
R75,125892.541179418,6144.085879623781,-30.697591925757965
R75,129568.66975170327,6144.0767901754,-31.593931045061364
R75,133352.1432163338,6144.067162172682,-32.5164395233565
R75,137246.09610075763,6144.056963707858,-33.465881139543114
R75,141253.7544622769,6144.046160982925,-34.443041940984905
R75,145378.4385607677,6144.034718197749,-35.448730890669644
R75,149623.56560944492,6144.022597431408,-36.48378053298678
R75,153992.65260595083,6144.009758516685,-37.54904767864394
R75,158489.31924611304,6143.996158906969,-38.6454141092508
R75,163117.29092278559,6143.981753535385,-39.773787302116354
R75,167880.40181225786,6143.966494665563,-40.935101175819774
R75,172782.59805078822,6143.950331733542,-42.1303168571173
R75,177827.94100389423,6143.933211180351,-43.360423469781104
R75,183020.61063110761,6143.915076274686,-44.62643894596165
R75,188364.90894898213,6143.89586692509,-45.92941086068353
R75,193865.26359522287,6143.875519481003,-47.270417290106764
R75,199526.23149689016,6143.853966522081,-48.65056769418727
R75,205352.5026457169,6143.831136635,-50.0710038243917
R75,211348.90398366703,6143.806954177148,-51.532900657133915
R75,217520.4034019547,6143.781339026236,-53.03746735361252
R75,223872.11385683648,6143.754206315215,-54.5859482467421
R75,230409.29760558717,6143.72546615142,-56.17962385589048
R75,237137.37056616822,6143.695023319169,-57.81981193013303
R75,244061.90680420081,6143.662776964805,-59.50786852076738
R75,251188.64315096088,6143.628620263074,-61.24518908382823
R75,258523.48395622204,6143.592440063829,-63.03320961335768
R75,266072.505979884,6143.554116517844,-64.87340780621034
R75,273841.96342643927,6143.513522680552,-66.76730425915555
R75,281838.29312644864,6143.470524092363,-68.71646369908586
R75,290068.11986931873,6143.424978334231,-70.72249624711877
R75,298538.26189179946,6143.3767345569295,-72.78705871739834
R75,307255.7365267483,6143.325632982639,-74.91185595142449
R75,316227.7660168417,6143.2715043770795,-77.09864218870945
R75,325461.7834980498,6143.214169490502,-79.34922247460888
R75,334965.4391578317,6143.153438465727,-81.66545410613836
R75,344746.6065731536,6143.0891102113455,-84.04924811661276
R75,354813.3892335798,6143.020971737858,-86.50257079993379
R75,365174.1272548422,6142.948797454871,-89.0274452753582
R75,375837.4042884488,6142.872348426749,-91.6259530935432
R75,386812.054633057,6142.791371584591,-94.30023588471659
R75,398107.1705535022,6142.705598891714,-97.05249704972564
R75,409732.10981354665,6142.6147464601445,-99.88500349479342
R75,421696.5034285876,6142.518513615144,-102.80008741070955
R75,434010.26364474936,6142.4165819047275,-105.80014809721818
R75,446683.59215096885,6142.308614051026,-108.8876538333029
R75,459726.9885308781,6142.19425284014,-112.06514379406232
R75,473151.2589614866,6142.073119946775,-115.33523001479954
R75,486967.5251658694,6141.9448146900195,-118.70059940293145
R75,501187.23362727877,6141.808912716179,-122.164015798249
R75,515822.16507231235,6141.664964604538,-125.7283220820226
R75,530884.4442309953,6141.512494391413,-129.3964423353461
R75,546386.5498818613,6141.350998008037,-133.17138404707188
R75,562341.3251903565,6141.179941627068,-137.05624037156923
R75,578761.9883491283,6140.998759912645,-141.0541924364453
R75,595662.1435290184,6140.806854168306,-145.16851170028022
R75,613055.7921498289,6140.6035903770335,-149.40256236026312
R75,630957.3444802017,6140.388297127173,-153.75980380950043
R75,649381.63157622,6140.160263417775,-158.24379314361514
R75,668343.9175686237,6139.91873633644,-162.85818771604298
R75,687859.9123088169,6139.662918602422,-167.6067477413021
R75,707945.7843841475,6139.3919659674375,-172.49333894523178
R75,728618.1745132377,6139.104984466039,-177.52193526098603
R75,749894.2093324661,6138.801027507102,-182.69662156932898
R75,771791.5155850231,6138.479092797584,-188.0215964814288
R75,794328.2347242925,6138.138119089025,-193.50117516208502
R75,817523.0379436614,6137.776982737084,-199.13979219093358
R75,841395.141645207,6137.394494063523,-204.9420044587928
R75,865964.3233600776,6136.989393509864,-210.9124940958903
R75,891250.9381337581,6136.56034757122,-217.05607142824007
R75,917275.9353897927,6136.105944498136,-223.37767795793022
R75,944060.8762859369,6135.6246897539795,-229.8823893624633
R75,971627.9515771201,6135.115001214418,-236.57541850779114
R75,1000000.0000000144,6134.575204095218,-243.4621184688491
R75,1029200.527194443,6134.003525593719,-250.5479855507817
R75,1059253.7251773044,6133.398089228803,-257.8386623032095
R75,1090184.4923851436,6132.756908863299,-265.339940518908
R75,1122018.4543019799,6132.0778823923465,-273.05776420750016
R75,1154781.984689475,6131.358785080163,-280.99823253348336
R75,1188502.2274370359,6130.597262527173,-289.16760270693527
R75,1223207.1190499496,6129.790823248551,-297.5722928139109
R75,1258925.4117941859,6128.936830844666,-306.2188845722294
R75,1295686.6975170388,6128.032495742879,-315.11412599681967
R75,1333521.432163344,6127.074866489618,-324.2649339572145
R75,1372460.9610075825,6126.060820570742,-333.6783966081136
R75,1412537.5446227754,6124.987054737708,-343.3617756718861
R75,1453784.3856076836,6123.850074815899,-353.3225085499943
R75,1496235.6560944559,6122.646184971341,-363.56821023801535
R75,1539926.526059515,6121.371476410891,-374.10667501657707
R75,1584893.1924611374,6120.0218154907025,-384.94587788793507
R75,1631172.909227863,6118.59283120714,-396.09397572507953
R75,1678804.0181225857,6117.079902043719,-407.5593080972686
R75,1727825.9805078898,6115.478142147679,-419.35039773271154
R75,1778279.41003895,6113.782386808979,-431.47595057545664
R75,1830206.106311084,6111.987177215035,-443.9448553899557
R75,1883649.0894898295,6110.0867444540045,-456.76618286257707
R75,1938652.6359522373,6108.074992740059,-469.94918414519026
R75,1995262.3149689105,6105.945481834315,-483.5032887810855
R75,2053525.026457178,6103.691408635922,-497.4381019488062
R75,2113489.0398366796,6101.305587918775,-511.76340095387
R75,2175204.0340195564,6098.780432190539,-526.4891308929609
R75,2238721.1385683743,6096.1079306525735,-541.6253994091928
R75,2304092.9760558815,6093.279627241358,-557.1824704503173
R75,2371373.705661692,6090.286597734577,-573.1707569356433
R75,2440619.0680420185,6087.119425908373,-589.6008122296813
R75,2511886.4315096196,6083.768178735909,-606.4833203134637
R75,2585234.8395622317,6080.222380621936,-623.8290845364238
R75,2660725.059798852,6076.470986673306,-641.6490148237284
R75,2738419.6342644054,6072.502355011457,-659.9541132049003
R75,2818382.931264499,6068.304218140027,-678.7554575213421
R75,2900681.1986932005,6063.86365338893,-698.064183160505
R75,2985382.618918008,6059.167052465438,-717.8914626556349
R75,3072557.365267497,6054.200090153613,-738.2484829797854
