case,relative_time_s,output_v,supply_v,supply_a,capacitor_a,load_a,nmos_drain_a,passive_output_v,passive_supply_a
R75-input_first-slow-8p,1.7915793711924863e-08,0.0012703780595081653,0.01791579371192471,2.4966157198335595e-06,7.701560258170915e-07,1.2703780595081652e-08,1.7137559134213608e-06,0.002682024368928296,2.2848854488365917e-06
R75-input_first-slow-8p,1.8191278303292333e-08,0.0012968914107527475,0.018191278303292438,2.5339584648185827e-06,7.71796864281322e-07,1.2968914107527474e-08,1.7491926864296925e-06,0.002760278462696203,2.3144676936432466e-06
R75-input_first-slow-8p,1.8470998920219214e-08,0.0013239445324993815,0.01847099892021908,2.5718556043992212e-06,7.732957604357244e-07,1.3239445324993815e-08,1.7853203986384792e-06,0.002840747748234815,2.344353039646541e-06
R75-input_first-slow-8p,1.8755020698517427e-08,0.0013514136401805669,0.01875502069851761,2.610335474400878e-06,7.748177045667493e-07,1.3514136401805669e-08,1.8220036334323163e-06,0.002923491826341914,2.3745423170333697e-06
R75-input_first-slow-8p,1.9043409775568505e-08,0.0013793551236029504,0.019043409775568322,2.6493995368444563e-06,7.763013707706249e-07,1.3793551236029504e-08,1.8593046148378066e-06,0.0030085717673299698,2.405036285804052e-06
R75-input_first-slow-8p,1.9336233305724128e-08,0.0014078265313309793,0.019336233305724263,2.689049232484774e-06,7.776841303011772e-07,1.4078265313309793e-08,1.8972868368702939e-06,0.0030960501415444575,2.4358356335055724e-06
R75-input_first-slow-8p,1.9633559475943827e-08,0.001436735733456987,0.019633559475943644,2.7293086069579307e-06,7.790881520180607e-07,1.436735733456987e-08,1.9358530976053088e-06,0.0031859910502729295,2.4669409729402667e-06
R75-input_first-slow-8p,1.993545752167308e-08,0.0014661581260074284,0.019935457521672965,2.7701767362497066e-06,7.804316335827219e-07,1.4661581260074283e-08,1.975083521406921e-06,0.0032784601570387934,2.498352839854406e-06
R75-input_first-slow-8p,2.0241997742965433e-08,0.0014961120446234694,0.020241997742965225,2.8116614144080337e-06,7.817011514242744e-07,1.4961120446234697e-08,2.0149991425375384e-06,0.003373524719273265,2.530071690605314e-06
R75-input_first-slow-8p,2.0553251520852506e-08,0.0015265265536639832,0.02055325152085262,2.8537839872527616e-06,7.829901901762298e-07,1.5265265536639835e-08,2.055528531539909e-06,0.003471253620358318,2.562097899811022e-06
R75-input_first-slow-8p,2.0869291333965857e-08,0.001557484436806393,0.020869291333965787,2.8965429091486024e-06,7.842118565754892e-07,1.5574844368063932e-08,2.096756208205065e-06,0.003571717402032812,2.594431757982415e-06
R75-input_first-slow-8p,2.1190190775414483e-08,0.0015889878865627718,0.02119019077541429,2.9399488893417424e-06,7.853722129704562e-07,1.588987886562772e-08,2.13868679750567e-06,0.0036749882971532782,2.6270734691413804e-06
R75-input_first-slow-8p,2.1516024569921632e-08,0.0016209757533158572,0.021516024569921695,2.984022307378258e-06,7.865504117402837e-07,1.6209757533158572e-08,2.1812621381048227e-06,0.0037811402627999954,2.660023148425343e-06
R75-input_first-slow-8p,2.1846868591225137e-08,0.0016535266988220295,0.02184686859122531,3.028762745088222e-06,7.8766844059021e-07,1.6535266988220294e-08,2.224559037509797e-06,0.0038902490137184796,2.6932808196811937e-06
R75-input_first-slow-8p,2.2182799879745485e-08,0.0016866497631613233,0.022182799879745297,3.0741804017193826e-06,7.887249545582563e-07,1.6866497631613232e-08,2.26858894952952e-06,0.004002392056085724,2.72684641305091e-06
R75-input_first-slow-8p,2.252389666052559e-08,0.0017202821487169852,0.022523896660525677,3.120296429004992e-06,7.897977141542374e-07,1.7202821487169853e-08,2.313295893363593e-06,0.004117648721589647,2.760719762550979e-06
R75-input_first-slow-8p,2.287023836144604e-08,0.001754485604925887,0.022870238361445958,3.1671134785026146e-06,7.908310232174017e-07,1.754485604925887e-08,2.3587375992359606e-06,0.004236100201809341,2.794900603647298e-06
R75-input_first-slow-8p,2.3221905631720822e-08,0.0017893018355339258,0.023221905631720764,3.214637391572506e-06,7.917901141125189e-07,1.7893018355339257e-08,2.4049542591046493e-06,0.004357829582883307,2.829388570830071e-06
R75-input_first-slow-8p,2.357898036067741e-08,0.0018246534225551977,0.023578980360677276,3.2628920624297734e-06,7.927639525966946e-07,1.8246534225551975e-08,2.451881575607523e-06,0.004482921880451643,2.8641831951892917e-06
R75-input_first-slow-8p,2.394154569682544e-08,0.0018605715911439267,0.023941545696825342,3.3118852789644027e-06,7.937305766109194e-07,1.8605715911439264e-08,2.4995489864420364e-06,0.004611464074857358,2.8992839019952504e-06
R75-input_first-slow-8p,2.4309686067218606e-08,0.0018971583831889115,0.02430968606721853,3.361614399159188e-06,7.945998103127997e-07,1.8971583831889115e-08,2.548043005014496e-06,0.004743545146591323,2.9346900082861402e-06
R75-input_first-slow-8p,2.4683487197114443e-08,0.0019343077569212227,0.024683487197114596,3.412108185802839e-06,7.954824099026235e-07,1.9343077569212227e-08,2.5972826983310046e-06,0.004879256111964377,2.970400720466501e-06
R75-input_first-slow-8p,2.506303612993645e-08,0.0019720283629531318,0.025063036129936267,3.4633783968908886e-06,7.963785809027474e-07,1.9720283629531316e-08,2.6472795323586155e-06,0.005018690058989243,3.0064151319192354e-06
R75-input_first-slow-8p,2.5448421247542933e-08,0.002010443498404432,0.02544842124754283,3.515419795546706e-06,7.971876780953278e-07,2.010443498404432e-08,2.6981276824673414e-06,0.005161942183453831,3.042732220635541e-06
R75-input_first-slow-8p,2.583973229080753e-08,0.002049473665613247,0.025839732290807535,3.5682577655513894e-06,7.979877830985261e-07,2.0494736656132468e-08,2.74977524579674e-06,0.005309109825166852,3.079350846864865e-06
