candidate,frequency_hz,gain_real,gain_imag
A37,38681.20546330552,-5.997060868181558,0.1328480319675198
A37,39810.71705535004,-5.996886687571988,0.13672329578353837
A37,40973.210981354474,-5.9967021971404195,0.14071136168453408
A37,42169.650342858564,-5.996506787335959,0.14481549133534033
A37,43401.02636447473,-5.996299812653387,0.14903903874396723
A37,44668.35921509667,-5.996080589522689,0.1533854526975709
A37,45972.69885308759,-5.995848394075953,0.15785827924620371
A37,47315.125896148435,-5.9956024597846405,0.1624611642336667
A37,48696.75251658671,-5.995341974959961,0.16719785587456706
A37,50118.723362727644,-5.995066080108518,0.1720722073764653
A37,51582.216507230994,-5.994773865135132,0.17708817960574325
A37,53088.44442309928,-5.994464366384188,0.18224984379554557
A37,54638.65498818588,-5.994136563510539,0.18756138429384772
A37,56234.13251903538,-5.993789376170345,0.1930271013493592
A37,57876.19883491255,-5.993421660522017,0.1986514139326098
A37,59566.21435290155,-5.993032205526435,0.20443886258914593
A37,61305.579214982594,-5.992619729035779,0.2103941123213356
A37,63095.734448019866,-5.992182873658946,0.21652195549476538
A37,64938.16315762169,-5.991720202391734,0.22282731476470136
A37,66834.39175686204,-5.991230193998704,0.22931524601746744
A37,68785.99123088135,-5.990711238133481,0.2359909413209738
A37,70794.5784384144,-5.990161630183411,0.24285973187790516
A37,72861.81745132341,-5.989579565823761,0.24992709097430832
A37,74989.42093324625,-5.988963135266325,0.2571986369154858
A37,77179.15155850194,-5.988310317186026,0.26468013594016493
A37,79432.82347242888,-5.987618972309048,0.27237750510292535
A37,81752.30379436575,-5.986886836644669,0.28029681511374865
A37,84139.5141645203,-5.9861115143429915,0.28844429312240755
A37,86596.43233600735,-5.985290470158999,0.29682632543404885
A37,89125.0938133754,-5.98442102150378,0.3054494601409865
A37,91727.59353897884,-5.983500330062114,0.3143204096541372
A37,94406.08762859325,-5.982525392955277,0.3234460531158913
A37,97162.79515771156,-5.981493033427224,0.33283343867440723
A37,100000.00000000097,-5.980399891031358,0.3424897855973557
A37,102920.05271944383,-5.979242411294737,0.3524224862010335
A37,105925.37251772993,-5.9780168348355645,0.36263910756846207
A37,109018.44923851384,-5.976719185909578,0.37314739302762573
A37,112201.84543019746,-5.975345260360041,0.383955263358316
A37,115478.19846894697,-5.973890612945984,0.3950708176931761
A37,118850.22274370304,-5.972350544022524,0.4065023340754169
A37,122320.71190499439,-5.970720085547166,0.41825826963233104
A37,125892.541179418,-5.968993986385712,0.4303472603201438
A37,129568.66975170327,-5.967166696891375,0.44277812019184526
A37,133352.1432163338,-5.9652323527309115,0.45555984013552686
A37,137246.09610075763,-5.963184757931968,0.4687015860262759
A37,141253.7544622769,-5.961017367126494,0.48221269622995433
A37,145378.4385607677,-5.958723266965855,0.49610267839208255
A37,149623.56560944492,-5.956295156684574,0.5103812054396661
A37,153992.65260595083,-5.953725327788558,0.5250581107177913
A37,158489.31924611304,-5.95100564286401,0.540143382178344
A37,163117.29092278559,-5.948127513450252,0.5556471555268594
A37,167880.40181225786,-5.945081877015069,0.5715797062347415
A37,172782.59805078822,-5.9418591729823085,0.5879514403088448
A37,177827.94100389423,-5.938449317820934,0.6047728837076193
A37,183020.61063110761,-5.934841679191358,0.6220546702835024
A37,188364.90894898213,-5.931025049152516,0.6398075281231108
A37,193865.26359522287,-5.926987616444353,0.6580422641486604
A37,199526.23149689016,-5.9227169378542515,0.6767697468336685
A37,205352.5026457169,-5.91819990870785,0.6960008868792913
A37,211348.90398366703,-5.91342273251148,0.7157466156858224
A37,217520.4034019547,-5.908370889798843,0.7360178614458507
A37,223872.11385683648,-5.903029106242547,0.7568255226754742
A37,230409.29760558717,-5.897381320106722,0.7781804389905805
A37,237137.37056616822,-5.891410649132501,0.8000933589256947
A37,244061.90680420081,-5.885099356967014,0.8225749045839033
A37,251188.64315096088,-5.878428819266285,0.8456355328976424
A37,258523.48395622204,-5.871379489625182,0.869285493272179
A37,266072.505979884,-5.863930865512045,0.8935347813764272
A37,273841.96342643927,-5.856061454413396,0.91839308883981
A37,281838.29312644864,-5.847748740423689,0.9438697486092393
A37,290068.11986931873,-5.8389691515481505,0.9699736757175215
A37,298538.26189179946,-5.829698028022258,0.9967133032138378
A37,307255.7365267483,-5.8199095919900765,1.0240965130088717
A37,316227.7660168417,-5.809576918925453,1.0521305613922138
A37,325461.7834980498,-5.79867191122466,1.0808219989882475
A37,334965.4391578317,-5.787165274446998,1.1101765849296477
A37,344746.6065731536,-5.775026496728408,1.140199195044835
A37,354813.3892335798,-5.762223831960298,1.1708937238818167
A37,365174.1272548422,-5.7487242873409325,1.202262980412371
A37,375837.4042884488,-5.7344936160325135,1.234308577310593
A37,386812.054633057,-5.719496315648986,1.2670308137313964
A37,398107.1705535022,-5.703695633401001,1.300428551576114
A37,409732.10981354665,-5.687053578770319,1.3344990852928638
A37,421696.5034285876,-5.669530944655901,1.3692380053357318
A37,434010.26364474936,-5.651087337974008,1.4046390554884947
A37,446683.59215096885,-5.631681220767627,1.4406939843608508
A37,459726.9885308781,-5.611269962929709,1.4773923914768272
A37,473151.2589614866,-5.589809907674404,1.5147215684971012
A37,486967.5251658694,-5.56725645092936,1.5526663362577295
A37,501187.23362727877,-5.5435641358581185,1.5912088784657785
A37,515822.16507231235,-5.518686763716295,1.630328573058052
A37,530884.4442309953,-5.492577522237327,1.6700018224124715
A37,546386.5498818613,-5.465189132715037,1.7102018837985282
A37,562341.3251903565,-5.436474016918984,1.750898701668997
A37,578761.9883491283,-5.406384484869428,1.792058743606407
A37,595662.1435290184,-5.3748729443917,1.8336448419657065
A37,613055.7921498289,-5.341892133265199,1.875616043500496
A37,630957.3444802017,-5.307395374533689,1.917927469471986
A37,649381.63157622,-5.271336855386141,1.9605301889907811
A37,668343.9175686237,-5.233671929711466,2.003371108548443
A37,687859.9123088169,-5.194357444109117,2.0463928808945324
A37,707945.7843841475,-5.153352086824687,2.089533836610818
A37,728618.1745132377,-5.110616758618265,2.1327279418602902
A37,749894.2093324661,-5.066114964138413,2.1759047858982665
A37,771791.5155850231,-5.019813221900948,2.218989601994809
A37,794328.2347242925,-4.971681490382692,2.261903325385674
A37,817523.0379436614,-4.921693607199655,2.3045626917966726
A37,841395.141645207,-4.869827737756978,2.346880379926759
A37,865964.3233600776,-4.816066829100397,2.388765200994189
A37,891250.9381337581,-4.7603990641301825,2.4301223381084305
A37,917275.9353897927,-4.702818310723013,2.4708536377542663
A37,944060.8762859369,-4.643324559757162,2.510857955101608
A37,971627.9515771201,-4.581924345507664,2.550031554152886
A37,1000000.0000000144,-4.518631141473417,2.588268562953171
A37,1029200.527194443,-4.453465724330444,2.625461483165819
A37,1059253.7251773044,-4.386456498521446,2.661501752334895
A37,1090184.4923851436,-4.317639773870037,2.6962803560513704
A37,1122018.4543019799,-4.24705998875522,2.7296884861398065
A37,1154781.984689475,-4.174769871596369,2.7616182397852165
A37,1188502.2274370359,-4.1008305338526245,2.791963353343479
A37,1223207.1190499496,-4.025311488457624,2.8206199634755076
A37,1258925.4117941859,-3.948290588388848,2.847487387117706
A37,1295686.6975170388,-3.869853881180096,2.872468910862062
A37,1333521.432163344,-3.790095376406888,2.8954725794767224
A37,1372460.9610075825,-3.709116724597914,2.916411972660195
