candidate,index,condition,role,numerical_usable,terminal_supported,out_v,error_v,gain,band_min_magnitude,band_max_magnitude,bandwidth_hz,current_a,power_w,dc_ac_current_pass,sine_assessed,sine_thd_fraction,sine_gain,sine_min_v,sine_max_v,sine_stationary,sine_all_assessed_pass,predicted_out_v,realization_id,attempt_sha256
A37,112,supply_097,CONFIRMATION,True,True,0.5239239266411235,0.023923926641123527,-5.992330486914975,5.982695578071915,5.9923314540860515,1761047.8243582041,3.659162882971175e-05,3.5493676057428905e-05,True,False,,,,,,,0.5249729486596144,839b753de0fbb9a24c7117e97091dbb52287773889005d2c23c82b42a0be7a39,b229244147af16bda6272c94632e93616ec68f7752c8be8d56d956cd76c9829b
A37,113,nominal,CONFIRMATION,True,True,0.48353393691253005,-0.01646606308746995,-6.022737423352314,6.012865880310996,6.0227384143481295,1744182.7946807186,3.742401547323062e-05,3.742379936012415e-05,True,False,,,,,,,0.48632202317115153,c365469c5ae9bebc83c4d74d2838820532cc9e7204efeb429ef15d06befef53e,94cbb81428ce1681ca90c5524348cabb0302bcd6cb5e521c4975781149265925
A37,113,supply_097,CONFIRMATION,True,True,0.42382227014135887,-0.07617772985864113,-6.04420876798087,6.034213859608982,6.044209771423069,1736481.089696952,3.55381060378092e-05,3.447175771372597e-05,False,False,,,,,,,0.42637607246364306,c365469c5ae9bebc83c4d74d2838820532cc9e7204efeb429ef15d06befef53e,46cedc8734351ed5f3e9c86f97a3a430051489c39aa1eedc6d621378d360f069
A37,114,nominal,CONFIRMATION,True,True,0.6054101452563345,0.10541014525633452,-5.806970789785413,5.797836489521544,5.806971706630007,1780582.701661261,3.802841338547614e-05,3.8028215072517375e-05,False,False,,,,,,,0.6051874731821502,5a648d6f61dea194fa885ca0169d8bf4ae5ebfa6bd7d59b96728f5b5310574cc,03910a23695f361828b245cf72414c12d9568ea6cfb64d3db56675611b666ce7
A37,114,supply_097,CONFIRMATION,True,True,0.5435478668841559,0.043547866884155906,-5.861102335625991,5.851695723356631,5.861103279878626,1762674.3073226975,3.6122297409458786e-05,3.503843670378189e-05,False,False,,,,,,,0.5452415224746416,5a648d6f61dea194fa885ca0169d8bf4ae5ebfa6bd7d59b96728f5b5310574cc,586b04d0a4be04fcfdde74c189725ed7f26a30f59bedf3b5192a6e9bd7455226
A37,115,nominal,CONFIRMATION,True,True,0.4479553822657211,-0.052044617734278875,-6.0791210265355495,6.0690938797589755,6.079122033181004,1738683.0023266838,3.726229366583557e-05,3.726207602961933e-05,False,False,,,,,,,0.4481536458969091,ec61c1b5091fcddfbf1e32ecb2824f64d905dcfb7512ac1f1f89c56fc3e39d99,f5070d60b59534b149a79ac3bb9d05ce1b9f926e96686425ee928151e7d867a4
A37,115,supply_097,CONFIRMATION,True,True,0.3891654413219042,-0.11083455867809577,-6.093819187007083,6.08370039249799,6.093820202908446,1732896.111321009,3.538424180389395e-05,3.432250774184837e-05,False,False,,,,,,,0.3882076951894006,ec61c1b5091fcddfbf1e32ecb2824f64d905dcfb7512ac1f1f89c56fc3e39d99,f8aa0c11e88aca1a9cdebdb521aae616408c87df20ae9f91f31f0997db0f3a9e
A37,116,nominal,CONFIRMATION,True,True,0.37027206695069736,-0.12972793304930264,-6.087922604649984,6.077757464372876,6.08792362523096,1728122.5760972998,3.629783828737282e-05,3.629762071712697e-05,False,False,,,,,,,0.36754921254662787,352f01fd3e7301954c9fb4213e8a6596718b2dce6775c86b3c49aca8deacef00,c056212c56443d8e7df671e7708dd39f2be883e7e010730f6302fa11ea8e684a
A37,116,supply_097,CONFIRMATION,True,True,0.3139799546162094,-0.18602004538379058,-6.080408959432782,6.070255859006886,6.080409978838555,1728079.7258099138,3.4443401642955475e-05,3.340989082431695e-05,False,False,,,,,,,0.3076032618391194,352f01fd3e7301954c9fb4213e8a6596718b2dce6775c86b3c49aca8deacef00,4a76195c39ec63455f1a86b53821418cc17349cbf74d0cfe8e4d2c4b03ebbd0a
A37,117,nominal,CONFIRMATION,True,True,0.4533707110555411,-0.04662928894445889,-6.033418187771006,6.023457459772355,6.033419187749478,1737901.681683261,3.693912897098249e-05,3.693891742330385e-05,False,False,,,,,,,0.453843146277946,ca5dccaa0edd5ab5ad6980c5584ef74d24a8a189cbb15812ff9da091cfbcc782,3a79c36c78c0cb30d27457c8363e31b781f94cfd3a480f77b109aa97df09d221
A37,117,supply_097,CONFIRMATION,True,True,0.39433061458479624,-0.10566938541520376,-6.049158722982369,6.03910122457872,6.049159732732283,1731791.28775565,3.505989542020488e-05,3.400789761509923e-05,False,False,,,,,,,0.3938971955704375,ca5dccaa0edd5ab5ad6980c5584ef74d24a8a189cbb15812ff9da091cfbcc782,0e79584d734df20e45ac752198042f3a3ce2904872b3f88bbfa8a53fc126d961
A37,118,nominal,CONFIRMATION,True,True,0.39486767126264266,-0.10513232873735734,-6.015384623407535,6.005337132484749,6.015385632171143,1727825.5460329212,3.645537575460804e-05,3.645516597650622e-05,False,False,,,,,,,0.3934145897377025,9cb47975713ad84c440c47d93e1522d69a044fb418cdf08e65b2ceea22a384be,0b06633fa5089f189c7688f0e7e9718597585aab1b13bb1fc14a79ccea67d447
A37,118,supply_097,CONFIRMATION,True,True,0.33854325171047905,-0.16145674828952095,-6.017486097203633,6.007405931520917,6.017487109289222,1725300.325190183,3.4601652955160416e-05,3.356340277332604e-05,False,False,,,,,,,0.333468639030194,9cb47975713ad84c440c47d93e1522d69a044fb418cdf08e65b2ceea22a384be,fb7b539422eca154dd1ef1390bc13a9ce1a2f655400cc7787f0b8c74e6061b9b
A37,119,nominal,CONFIRMATION,True,True,0.6086697400558175,0.10866974005581753,-5.897111051070836,5.887911827692665,5.897111974409441,1787983.4241916991,3.8641579142090714e-05,3.864136739957667e-05,False,False,,,,,,,0.6063875817258294,4cf5f95a95350ee56f7ccab1614992cf7eac794ba97e688a8c851dd3023da77f,e27924e6a60e2a8d406ebb705d618e32962a53c5e2b72b4764a1b5f2450dca5f
A37,119,supply_097,CONFIRMATION,True,True,0.545735400724214,0.045735400724214004,-5.956568251339772,5.9470737763769925,5.95656920439099,1768767.1070269297,3.6723910918733016e-05,3.562198887590941e-05,False,False,,,,,,,0.5464416310183209,4cf5f95a95350ee56f7ccab1614992cf7eac794ba97e688a8c851dd3023da77f,711a638d20079e6b8d298b2971b0592d8dc4d37be2302996e573aa2cc0ab875a
A37,120,nominal,CONFIRMATION,True,True,0.5876238069564599,0.08762380695645988,-5.802079033583978,5.7928459335910985,5.802079960374177,1770225.8077773226,3.808115550455768e-05,3.808096164359982e-05,False,False,,,,,,,0.589243646557503,b9b638f9f53f351919b12111181915d89bae8ab38aa625e5d0ef014d647b5742,eaf77b20a9bd7c8f559ea5ad8ed668b1bb14ddcf51d2d43012e6be7dc55402a2
